trade_date,open,high,low,close,volume
2024-04-25,3576.0,3619.0,3524.0,3565.0,206999
2024-04-26,3566.0,3743.0,3514.0,3717.0,156850
2024-04-29,3730.0,3816.0,3698.0,3717.0,112605
2024-04-30,3718.0,3767.0,3688.0,3713.0,73646
2024-05-02,3711.0,3888.0,3642.0,3880.0,99600
2024-05-03,3879.0,4036.0,3869.0,3976.0,102227
2024-05-06,3976.0,4058.0,3961.0,4021.0,101558
2024-05-07,4021.0,4048.0,3914.0,3926.0,82399
2024-05-08,3928.0,3970.0,3863.0,3872.0,78025
2024-05-09,3871.0,3967.0,3833.0,3956.0,75108
2024-05-10,3956.0,4010.0,3905.0,3975.0,86338
2024-05-13,3976.0,4035.0,3905.0,4026.0,82556
2024-05-14,4026.0,4115.0,4016.0,4046.0,90761
2024-05-16,4047.0,4125.0,3999.0,4064.0,103205
2024-05-17,4064.0,4165.0,4047.0,4119.0,100258
2024-05-20,4118.0,4192.0,4107.0,4134.0,83155
2024-05-21,4133.0,4133.0,3967.0,3978.0,98451
2024-05-22,3977.0,4041.0,3959.0,3993.0,68681
2024-05-23,3995.0,4011.0,3874.0,3908.0,103004
2024-05-24,3908.0,3936.0,3782.0,3803.0,136335
2024-05-27,3805.0,3880.0,3754.0,3864.0,159510
2024-05-28,3864.0,3925.0,3838.0,3850.0,116926
2024-05-29,3852.0,3862.0,3748.0,3762.0,98633
2024-05-30,3771.0,3817.0,3699.0,3753.0,86154
2024-05-31,3755.0,3853.0,3686.0,3699.0,88293
2024-06-03,3698.0,3820.0,3685.0,3791.0,79124
2024-06-04,3793.0,3815.0,3725.0,3792.0,50269
2024-06-05,3791.0,3870.0,3761.0,3806.0,60619
2024-06-06,3806.0,3887.0,3802.0,3841.0,55396
2024-06-07,3842.0,3876.0,3755.0,3767.0,62897
2024-06-11,3767.0,3779.0,3693.0,3754.0,63791
2024-06-12,3753.0,3761.0,3688.0,3694.0,54173
2024-06-13,3696.0,3760.0,3690.0,3747.0,53853
2024-06-14,3747.0,3772.0,3702.0,3715.0,45938
2024-06-17,3714.0,3745.0,3660.0,3718.0,52150
2024-06-18,3717.0,3758.0,3685.0,3699.0,43249
2024-06-19,3700.0,3841.0,3700.0,3839.0,70255
2024-06-20,3837.0,3843.0,3759.0,3767.0,51897
2024-06-21,3767.0,3770.0,3675.0,3701.0,72975
2024-06-24,3699.0,3718.0,3626.0,3685.0,147497
2024-06-25,3685.0,3739.0,3627.0,3660.0,144184
2024-06-26,3660.0,3709.0,3622.0,3686.0,142679
2024-06-27,3696.0,3696.0,3589.0,3594.0,83592
2024-06-28,3594.0,3630.0,3546.0,3569.0,70494
2024-07-02,3569.0,3607.0,3527.0,3550.0,60399
2024-07-03,3550.0,3648.0,3542.0,3631.0,67122
2024-07-04,3631.0,3718.0,3630.0,3665.0,51765
2024-07-05,3666.0,3674.0,3581.0,3600.0,45804
2024-07-08,3601.0,3627.0,3551.0,3578.0,44837
2024-07-09,3577.0,3633.0,3544.0,3598.0,50730
2024-07-10,3598.0,3689.0,3584.0,3605.0,47923
2024-07-11,3606.0,3709.0,3606.0,3696.0,66895
2024-07-12,3696.0,3796.0,3696.0,3792.0,72609
2024-07-15,3794.0,3821.0,3666.0,3684.0,67358
2024-07-16,3683.0,3684.0,3608.0,3625.0,56652
2024-07-17,3626.0,3689.0,3604.0,3647.0,56097
2024-07-18,3648.0,3658.0,3579.0,3623.0,57465
2024-07-19,3624.0,3629.0,3529.0,3545.0,72326
2024-07-22,3546.0,3630.0,3534.0,3616.0,78482
2024-07-23,3617.0,3652.0,3541.0,3548.0,68292
2024-07-24,3549.0,3566.0,3471.0,3498.0,86205
2024-07-25,3499.0,3516.0,3411.0,3434.0,167822
2024-07-26,3435.0,3481.0,3412.0,3446.0,129119
2024-07-29,3447.0,3515.0,3432.0,3476.0,87862
2024-07-30,3481.0,3485.0,3408.0,3420.0,76366
2024-07-31,3421.0,3549.0,3415.0,3520.0,81349
2024-08-01,3521.0,3550.0,3474.0,3488.0,57916
2024-08-02,3489.0,3508.0,3366.0,3401.0,73279
