trade_date,open,high,low,close,volume
2024-04-25,6114.0,6194.0,6061.0,6138.0,8807
2024-04-26,6142.0,6323.0,6069.0,6285.0,9993
2024-04-29,6294.0,6399.0,6251.0,6287.0,8760
2024-04-30,6287.0,6353.0,6256.0,6291.0,8196
2024-05-02,6289.0,6465.0,6204.0,6453.0,10264
2024-05-03,6450.0,6629.0,6438.0,6556.0,10201
2024-05-06,6558.0,6662.0,6521.0,6583.0,9261
2024-05-07,6586.0,6628.0,6521.0,6530.0,7027
2024-05-08,6536.0,6592.0,6456.0,6456.0,7082
2024-05-09,6457.0,6577.0,6424.0,6563.0,7629
2024-05-10,6558.0,6745.0,6556.0,6730.0,11617
2024-05-13,6730.0,6784.0,6653.0,6770.0,8623
2024-05-14,6770.0,6850.0,6739.0,6755.0,7250
2024-05-16,6758.0,6901.0,6699.0,6865.0,10554
2024-05-17,6870.0,6973.0,6858.0,6951.0,9581
2024-05-20,6948.0,7029.0,6930.0,6970.0,7092
2024-05-21,6968.0,6969.0,6808.0,6817.0,7759
2024-05-22,6815.0,6890.0,6797.0,6819.0,6785
2024-05-23,6818.0,6829.0,6662.0,6717.0,8933
2024-05-24,6717.0,6743.0,6577.0,6604.0,9133
2024-05-27,6610.0,6699.0,6566.0,6684.0,8181
2024-05-28,6686.0,6757.0,6662.0,6672.0,5520
2024-05-29,6671.0,6688.0,6538.0,6554.0,6986
2024-05-30,6527.0,6539.0,6401.0,6406.0,7636
2024-05-31,6411.0,6552.0,6336.0,6358.0,9762
2024-06-03,6348.0,6548.0,6331.0,6499.0,8975
2024-06-04,6494.0,6542.0,6408.0,6496.0,7291
2024-06-05,6494.0,6613.0,6467.0,6491.0,9546
2024-06-06,6492.0,6603.0,6478.0,6519.0,8066
2024-06-07,6521.0,6580.0,6447.0,6462.0,7137
2024-06-11,6460.0,6488.0,6347.0,6426.0,8478
2024-06-12,6424.0,6435.0,6316.0,6344.0,6367
2024-06-13,6346.0,6431.0,6328.0,6408.0,7388
2024-06-14,6410.0,6441.0,6344.0,6364.0,6602
2024-06-17,6355.0,6440.0,6276.0,6370.0,7597
2024-06-18,6365.0,6412.0,6342.0,6365.0,5958
2024-06-19,6366.0,6595.0,6364.0,6582.0,8317
2024-06-20,6580.0,6621.0,6528.0,6543.0,5617
2024-06-21,6541.0,6551.0,6399.0,6434.0,7599
2024-06-24,6436.0,6454.0,6343.0,6451.0,6468
2024-06-25,6448.0,6525.0,6414.0,6460.0,8108
2024-06-26,6460.0,6498.0,6400.0,6463.0,6994
2024-06-27,6398.0,6398.0,6238.0,6253.0,6307
2024-06-28,6262.0,6315.0,6181.0,6263.0,7611
2024-07-02,6266.0,6383.0,6215.0,6311.0,7960
2024-07-03,6311.0,6411.0,6304.0,6390.0,8155
2024-07-04,6388.0,6485.0,6388.0,6451.0,6328
2024-07-05,6454.0,6472.0,6341.0,6348.0,5642
2024-07-08,6348.0,6370.0,6270.0,6301.0,5853
2024-07-09,6303.0,6336.0,6229.0,6274.0,6157
2024-07-10,6276.0,6387.0,6247.0,6258.0,6544
2024-07-11,6260.0,6400.0,6259.0,6380.0,6777
2024-07-12,6379.0,6558.0,6372.0,6554.0,7467
2024-07-15,6556.0,6583.0,6404.0,6437.0,7114
