trade_date,open,high,low,close,volume
2024-04-25,17251.0,17470.0,17097.0,17340.0,91526
2024-04-26,17340.0,17784.0,17145.0,17680.0,93868
2024-04-29,17610.0,17993.0,17508.0,17681.0,83867
2024-04-30,17679.0,17846.0,17595.0,17722.0,85540
2024-05-02,17720.0,18219.0,17521.0,18167.0,99277
2024-05-03,18165.0,18580.0,18114.0,18412.0,94352
2024-05-06,18415.0,18695.0,18334.0,18527.0,89626
2024-05-07,18524.0,18638.0,18349.0,18410.0,78082
2024-05-08,18409.0,18554.0,18226.0,18232.0,80600
2024-05-09,18227.0,18558.0,18150.0,18519.0,83420
2024-05-10,18518.0,18988.0,18496.0,18959.0,104679
2024-05-13,18963.0,19110.0,18790.0,19091.0,91368
2024-05-14,19093.0,19295.0,19024.0,19072.0,79452
2024-05-16,19076.0,19432.0,18945.0,19340.0,105964
2024-05-17,19342.0,19606.0,19333.0,19545.0,101892
2024-05-20,19545.0,19771.0,19505.0,19634.0,87385
2024-05-21,19630.0,19631.0,19169.0,19202.0,88259
2024-05-22,19199.0,19353.0,19130.0,19168.0,81389
2024-05-23,19168.0,19202.0,18765.0,18883.0,94357
2024-05-24,18881.0,18955.0,18507.0,18579.0,103017
2024-05-27,18580.0,18844.0,18488.0,18810.0,94507
2024-05-28,18815.0,18976.0,18735.0,18790.0,69379
2024-05-29,18790.0,18813.0,18429.0,18476.0,74258
2024-05-30,18426.0,18457.0,18093.0,18126.0,81586
2024-05-31,18126.0,18467.0,17962.0,18005.0,105881
2024-06-03,18005.0,18488.0,17949.0,18345.0,95164
2024-06-04,18342.0,18440.0,18121.0,18317.0,88665
2024-06-05,18315.0,18635.0,18220.0,18309.0,101553
2024-06-06,18308.0,18626.0,18298.0,18419.0,94870
2024-06-07,18422.0,18564.0,18222.0,18274.0,92652
2024-06-11,18276.0,18334.0,17922.0,18117.0,96081
2024-06-12,18111.0,18121.0,17808.0,17919.0,81657
2024-06-13,17916.0,18167.0,17880.0,18095.0,84802
2024-06-14,18093.0,18174.0,17870.0,17914.0,94050
2024-06-17,17913.0,18120.0,17694.0,17950.0,94865
2024-06-18,17948.0,18041.0,17841.0,17897.0,77394
2024-06-19,17898.0,18459.0,17894.0,18430.0,92898
2024-06-20,18430.0,18513.0,18261.0,18295.0,74214
2024-06-21,18296.0,18319.0,17955.0,18018.0,78954
2024-06-24,18017.0,18068.0,17777.0,18068.0,71883
2024-06-25,18064.0,18263.0,17952.0,18070.0,77848
2024-06-26,18070.0,18153.0,17888.0,18065.0,65143
2024-06-27,17951.0,17961.0,17560.0,17609.0,59693
2024-06-28,17613.0,17764.0,17425.0,17630.0,78043
2024-07-02,17632.0,17890.0,17483.0,17677.0,82229
2024-07-03,17681.0,17940.0,17664.0,17862.0,91199
2024-07-04,17867.0,18111.0,17865.0,18022.0,82843
2024-07-05,18024.0,18067.0,17728.0,17746.0,77168
2024-07-08,17747.0,17764.0,17493.0,17580.0,77837
2024-07-09,17579.0,17662.0,17403.0,17532.0,83641
2024-07-10,17532.0,17808.0,17449.0,17504.0,84111
2024-07-11,17507.0,17904.0,17504.0,17859.0,85196
2024-07-12,17857.0,18380.0,17838.0,18369.0,92461
2024-07-15,18368.0,18423.0,17967.0,18058.0,78727
2024-07-16,18058.0,18067.0,17732.0,17744.0,77409
2024-07-17,17745.0,17852.0,17659.0,17741.0,81502
2024-07-18,17747.0,17894.0,17635.0,17805.0,81410
2024-07-19,17809.0,17820.0,17380.0,17439.0,77586
2024-07-22,17441.0,17716.0,17319.0,17662.0,81640
2024-07-23,17662.0,17772.0,17458.0,17497.0,68975
2024-07-24,17498.0,17533.0,17267.0,17348.0,70520
2024-07-25,17349.0,17432.0,16977.0,17030.0,76961
2024-07-26,17034.0,17234.0,16930.0,17022.0,77487
2024-07-29,17027.0,17380.0,16985.0,17253.0,65803
2024-07-30,17260.0,17282.0,16981.0,17021.0,51491
2024-07-31,17024.0,17433.0,17021.0,17347.0,83922
2024-08-01,17350.0,17446.0,17252.0,17312.0,73858
2024-08-02,17315.0,17348.0,16878.0,16962.0,79436
2024-08-05,16963.0,17024.0,16436.0,16743.0,120872
2024-08-06,16737.0,16935.0,16510.0,16611.0,98315
2024-08-07,16611.0,17004.0,16501.0,16897.0,92917
2024-08-08,16899.0,17034.0,16649.0,16892.0,97325
2024-08-09,16893.0,17264.0,16873.0,17080.0,84299
2024-08-12,17081.0,17166.0,16974.0,17078.0,68181
2024-08-13,17076.0,17258.0,17051.0,17162.0,69177
2024-08-14,17164.0,17291.0,17056.0,17128.0,62932
2024-08-15,17128.0,17318.0,16919.0,17127.0,91509
2024-08-16,17128.0,17500.0,17104.0,17424.0,85060
2024-08-19,17424.0,17717.0,17354.0,17606.0,65954
2024-08-20,17605.0,17774.0,17464.0,17531.0,56020
2024-08-21,17533.0,17535.0,17251.0,17373.0,65956
2024-08-22,17373.0,17684.0,17371.0,17664.0,73517
2024-08-23,17663.0,17663.0,17445.0,17634.0,63974
2024-08-26,17633.0,17849.0,17588.0,17809.0,66187
2024-08-27,17806.0,17921.0,17633.0,17913.0,61343
2024-08-28,17910.0,17934.0,17661.0,17708.0,54049
2024-08-29,17654.0,17750.0,17447.0,17722.0,66440
2024-08-30,17723.0,18159.0,17690.0,17949.0,84430
2024-09-02,17949.0,17969.0,17586.0,17647.0,67550
2024-09-03,17648.0,17695.0,17538.0,17593.0,55622
2024-09-04,17593.0,17593.0,17298.0,17435.0,75708
2024-09-05,17436.0,17546.0,17310.0,17440.0,66619
2024-09-06,17439.0,17441.0,17401.0,17432.0,2233
2024-09-09,17300.0,17312.0,17059.0,17150.0,47188
2024-09-10,17153.0,17290.0,17092.0,17189.0,64568
2024-09-11,17188.0,17195.0,16948.0,17087.0,65587
2024-09-12,17085.0,17356.0,17019.0,17256.0,75245
2024-09-13,17257.0,17574.0,17166.0,17375.0,67639
2024-09-16,17379.0,17450.0,17189.0,17449.0,57107
2024-09-17,17450.0,17743.0,17395.0,17676.0,55901
2024-09-19,17678.0,18097.0,17601.0,18060.0,80792
2024-09-20,18062.0,18378.0,17955.0,18284.0,94394
2024-09-23,18284.0,18449.0,18166.0,18269.0,71387
2024-09-24,18265.0,19094.0,18253.0,19085.0,111136
2024-09-25,19088.0,19767.0,19068.0,19204.0,137338
2024-09-26,19204.0,20030.0,19144.0,20028.0,120718
2024-09-27,20129.0,20996.0,20124.0,20926.0,180298
2024-09-30,20927.0,21591.0,20615.0,21282.0,242698
2024-10-02,21274.0,22778.0,20708.0,22460.0,295079
2024-10-03,22451.0,22862.0,21527.0,22155.0,297684
2024-10-04,22149.0,22888.0,21657.0,22875.0,229552
2024-10-07,22871.0,23330.0,22518.0,23197.0,183151
2024-10-08,23192.0,23333.0,20649.0,20780.0,327325
2024-10-09,20788.0,21510.0,20239.0,20628.0,332289
2024-10-10,20628.0,21650.0,20628.0,21270.0,217218
2024-10-14,21274.0,21448.0,20724.0,21091.0,161532
2024-10-15,21092.0,21427.0,20184.0,20365.0,137040
2024-10-16,20365.0,20592.0,20088.0,20288.0,139857
2024-10-17,20288.0,20804.0,20001.0,20040.0,123519
2024-10-18,20042.0,20976.0,19862.0,20868.0,165315
2024-10-21,20859.0,20934.0,20433.0,20471.0,117983
2024-10-22,20476.0,20646.0,20278.0,20489.0,101087
2024-10-23,20487.0,20951.0,20384.0,20731.0,102906
2024-10-24,20725.0,20758.0,20450.0,20504.0,86612
2024-10-25,20500.0,20787.0,20284.0,20612.0,86147
2024-10-28,20612.0,20692.0,20415.0,20603.0,69135
2024-10-29,20597.0,20895.0,20533.0,20787.0,69495
2024-10-30,20843.0,21176.0,20320.0,20439.0,78938
2024-10-31,20428.0,20599.0,20287.0,20349.0,86546
2024-11-01,20356.0,20712.0,20229.0,20524.0,90752
2024-11-04,20529.0,20660.0,20452.0,20588.0,66901
2024-11-05,20583.0,21059.0,20375.0,21000.0,93432
2024-11-06,21003.0,21065.0,20351.0,20613.0,108748
2024-11-07,20607.0,21073.0,20217.0,21060.0,109847
2024-11-08,21065.0,21377.0,20391.0,20583.0,126100
2024-11-11,20591.0,20681.0,20161.0,20453.0,108383
2024-11-12,20444.0,20546.0,19775.0,19892.0,93355
2024-11-13,19888.0,19914.0,19569.0,19800.0,87822
2024-11-14,19812.0,19975.0,19389.0,19437.0,84394
2024-11-15,19442.0,19626.0,19339.0,19424.0,84329
2024-11-18,19425.0,19799.0,19404.0,19611.0,82899
2024-11-19,19606.0,19794.0,19530.0,19691.0,63617
2024-11-20,19685.0,19779.0,19411.0,19716.0,63115
2024-11-21,19713.0,19787.0,19553.0,19589.0,54873
2024-11-22,19588.0,19725.0,19136.0,19221.0,72899
2024-11-25,19215.0,19385.0,19043.0,19136.0,63756
2024-11-26,19136.0,19312.0,18965.0,19162.0,52774
2024-11-27,19166.0,19693.0,19077.0,19598.0,66268
2024-11-28,19643.0,19705.0,19360.0,19396.0,49336
2024-11-29,19395.0,19723.0,19362.0,19508.0,70427
2024-12-02,19515.0,19751.0,19444.0,19620.0,72649
2024-12-03,19625.0,19831.0,19429.0,19809.0,79024
2024-12-04,19809.0,19887.0,19659.0,19791.0,72469
2024-12-05,19795.0,19800.0,19495.0,19659.0,56323
2024-12-06,19653.0,20004.0,19595.0,19935.0,72915
2024-12-09,19935.0,20688.0,19733.0,20648.0,104160
2024-12-10,20657.0,21384.0,20366.0,20437.0,145008
2024-12-11,20442.0,20562.0,20153.0,20203.0,84337
2024-12-12,20200.0,20608.0,20125.0,20471.0,86926
2024-12-13,20470.0,20558.0,19941.0,20018.0,91569
2024-12-16,20009.0,20095.0,19759.0,19823.0,62719
2024-12-17,19813.0,19975.0,19641.0,19741.0,71031
2024-12-18,19741.0,20000.0,19714.0,19879.0,57970
2024-12-19,19876.0,19906.0,19549.0,19790.0,60681
2024-12-20,19794.0,19891.0,19651.0,19684.0,58327
2024-12-23,19684.0,19965.0,19637.0,19895.0,56926
2024-12-24,19893.0,20176.0,19816.0,20145.0,37930
2024-12-27,20192.0,20199.0,19992.0,20075.0,38100
2024-12-30,20101.0,20215.0,19964.0,20020.0,44173
