trade_date,open,high,low,close,volume
2024-05-08,18194.0,18242.25,18072.5,18186.5,453714
2024-05-09,18160.75,18240.25,18103.75,18214.5,471196
2024-05-10,18226.0,18348.0,18188.5,18255.0,473881
2024-05-13,18238.0,18336.25,18228.75,18295.5,411036
2024-05-14,18282.0,18433.0,18165.5,18415.0,555369
2024-05-15,18409.75,18707.0,18393.0,18691.75,605869
2024-05-16,18693.25,18760.75,18633.25,18650.0,548582
2024-05-17,18642.0,18686.75,18545.0,18635.25,489227
2024-05-20,18633.5,18794.5,18633.0,18763.0,470381
2024-05-21,18746.0,18808.75,18678.0,18799.25,426117
2024-05-22,18798.25,18891.0,18684.25,18786.75,578439
2024-05-23,18860.5,19023.25,18621.5,18696.25,851576
2024-05-24,18684.0,18926.0,18680.0,18876.0,552083
2024-05-28,18874.75,18980.5,18819.5,18940.5,642954
2024-05-29,18949.5,18949.75,18740.0,18802.75,573938
2024-05-30,18753.0,18787.0,18546.25,18606.5,619548
2024-05-31,18590.75,18668.25,18241.25,18591.0,834003
2024-06-03,18590.25,18755.5,18435.75,18646.25,669104
2024-06-04,18662.5,18753.25,18511.25,18701.0,616703
2024-06-05,18711.0,19090.5,18696.25,19074.25,575227
2024-06-06,19089.5,19124.5,19017.25,19060.25,524900
2024-06-07,19064.0,19155.0,18940.0,19037.75,612033
2024-06-10,19025.0,19129.75,18974.25,19109.75,571666
2024-06-11,19107.25,19257.5,18994.5,19242.25,564706
2024-06-12,19248.0,19612.25,19233.5,19496.5,691079
2024-06-13,19602.0,19691.0,19500.0,19602.5,584725
2024-06-14,19602.75,19699.5,19501.5,19685.5,584288
2024-06-17,19695.0,20001.0,19640.5,19921.25,423232
2024-06-18,19918.5,19996.5,19851.75,19919.25,201834
2024-06-20,19930.25,20095.0,19694.25,19763.25,157046
2024-06-21,19781.25,19819.25,19687.5,19747.2890625,590839
2024-06-24,20014.75,20030.25,19728.0,19750.75,683900
2024-06-25,19756.0,19981.25,19726.0,19972.25,574518
2024-06-26,19973.0,20070.5,19901.0,20012.5,590175
2024-06-27,19946.0,20116.75,19874.25,20039.5,589649
2024-06-28,20063.25,20273.25,19906.25,19927.25,750324
2024-07-01,19970.0,20074.0,19811.75,20052.0,639341
2024-07-02,20045.75,20259.25,19910.0,20255.25,621477
2024-07-03,20241.0,20435.25,20205.0,20411.5,395129
2024-07-05,20419.25,20639.5,20361.0,20620.75,600207
2024-07-08,20591.5,20688.0,20579.25,20659.75,497107
2024-07-09,20681.0,20771.75,20615.75,20678.5,569689
2024-07-10,20686.0,20916.75,20684.5,20899.75,576694
2024-07-11,20895.5,20983.75,20377.25,20441.75,906128
2024-07-12,20432.75,20741.0,20335.0,20524.0,724343
2024-07-15,20580.0,20797.0,20506.25,20583.75,703410
2024-07-16,20628.0,20684.5,20464.5,20598.0,629745
2024-07-17,20591.0,20597.75,19965.75,19997.5,854323
2024-07-18,20024.25,20162.5,19758.75,19899.25,964287
2024-07-19,19955.0,19979.75,19654.0,19713.0,774109
2024-07-22,19749.0,20044.75,19718.75,20001.0,657854
2024-07-23,19982.0,20084.75,19868.25,19925.0,601990
2024-07-24,19883.0,19883.0,19168.75,19203.25,846812
