code,name,ts_code
MMM,3M,MMM.US
AOS,A. O. Smith,AOS.US
ABT,Abbott Laboratories,ABT.US
ABBV,AbbVie,ABBV.US
ACN,Accenture,ACN.US
ADBE,Adobe Inc.,ADBE.US
AMD,Advanced Micro Devices,AMD.US
AES,AES Corporation,AES.US
AFL,Aflac,AFL.US
A,Agilent Technologies,A.US
APD,Air Products,APD.US
ABNB,Airbnb,ABNB.US
AKAM,Akamai Technologies,AKAM.US
ALB,Albemarle Corporation,ALB.US
ARE,Alexandria Real Estate Equities,ARE.US
ALGN,Align Technology,ALGN.US
ALLE,Allegion,ALLE.US
LNT,Alliant Energy,LNT.US
ALL,Allstate,ALL.US
GOOGL,Alphabet Inc. (Class A),GOOGL.US
GOOG,Alphabet Inc. (Class C),GOOG.US
MO,Altria,MO.US
AMZN,Amazon,AMZN.US
AMCR,Amcor,AMCR.US
AEE,Ameren,AEE.US
AEP,American Electric Power,AEP.US
AXP,American Express,AXP.US
AIG,American International Group,AIG.US
AMT,American Tower,AMT.US
AWK,American Water Works,AWK.US
AMP,Ameriprise Financial,AMP.US
AME,Ametek,AME.US
AMGN,Amgen,AMGN.US
APH,Amphenol,APH.US
ADI,Analog Devices,ADI.US
AON,Aon plc,AON.US
APA,APA Corporation,APA.US
APO,Apollo Global Management,APO.US
AAPL,Apple Inc.,AAPL.US
AMAT,Applied Materials,AMAT.US
APP,AppLovin,APP.US
APTV,Aptiv,APTV.US
ACGL,Arch Capital Group,ACGL.US
ADM,Archer Daniels Midland,ADM.US
ARES,Ares Management,ARES.US
ANET,Arista Networks,ANET.US
AJG,Arthur J. Gallagher & Co.,AJG.US
AIZ,Assurant,AIZ.US
T,AT&T,T.US
ATO,Atmos Energy,ATO.US
ADSK,Autodesk,ADSK.US
ADP,Automatic Data Processing,ADP.US
AZO,AutoZone,AZO.US
AVB,AvalonBay Communities,AVB.US
AVY,Avery Dennison,AVY.US
AXON,Axon Enterprise,AXON.US
BKR,Baker Hughes,BKR.US
BALL,Ball Corporation,BALL.US
BAC,Bank of America,BAC.US
BAX,Baxter International,BAX.US
BDX,Becton Dickinson,BDX.US
BRK.B,Berkshire Hathaway,BRK.B.US
BBY,Best Buy,BBY.US
TECH,Bio-Techne,TECH.US
BIIB,Biogen,BIIB.US
BLK,BlackRock,BLK.US
BX,Blackstone Inc.,BX.US
XYZ,"Block, Inc.",XYZ.US
BK,BNY Mellon,BK.US
BA,Boeing,BA.US
BKNG,Booking Holdings,BKNG.US
BSX,Boston Scientific,BSX.US
BMY,Bristol Myers Squibb,BMY.US
AVGO,Broadcom,AVGO.US
BR,Broadridge Financial Solutions,BR.US
