ts_code,industry
000001.SZ,银行
000002.SZ,全国地产
000004.SZ,软件服务
000006.SZ,区域地产
000007.SZ,其他商业
000008.SZ,运输设备
000009.SZ,电气设备
000010.SZ,建筑工程
000011.SZ,房产服务
000012.SZ,玻璃
000014.SZ,全国地产
000016.SZ,家用电器
000017.SZ,服饰
000019.SZ,农业综合
000020.SZ,元器件
000021.SZ,元器件
000025.SZ,综合类
000026.SZ,服饰
000027.SZ,火力发电
000028.SZ,医药商业
000029.SZ,区域地产
000030.SZ,汽车配件
000031.SZ,全国地产
000032.SZ,建筑工程
000034.SZ,软件服务
000035.SZ,环境保护
000036.SZ,全国地产
000037.SZ,火力发电
000039.SZ,运输设备
000042.SZ,全国地产
000045.SZ,元器件
000048.SZ,农业综合
000049.SZ,电气设备
000050.SZ,元器件
000055.SZ,其他建材
000056.SZ,其他商业
000058.SZ,商品城
000059.SZ,石油加工
000060.SZ,铅锌
000061.SZ,农业综合
000062.SZ,元器件
000063.SZ,通信设备
000065.SZ,建筑工程
000066.SZ,IT设备
000068.SZ,环境保护
000069.SZ,全国地产
000070.SZ,通信设备
000078.SZ,医药商业
000088.SZ,港口
000089.SZ,机场
000090.SZ,建筑工程
000096.SZ,石油贸易
000099.SZ,空运
000100.SZ,元器件
000151.SZ,商贸代理
000153.SZ,化学制药
000155.SZ,新型电力
000156.SZ,影视音像
000157.SZ,工程机械
000158.SZ,软件服务
000159.SZ,石油贸易
000166.SZ,证券
000301.SZ,化纤
000333.SZ,家用电器
000338.SZ,汽车配件
000400.SZ,电气设备
000401.SZ,水泥
000402.SZ,全国地产
000403.SZ,生物制药
000404.SZ,家用电器
000407.SZ,供气供热
000408.SZ,农药化肥
000409.SZ,软件服务
000410.SZ,机床制造
000411.SZ,医药商业
000415.SZ,多元金融
000417.SZ,百货
000419.SZ,百货
000420.SZ,化纤
000421.SZ,供气供热
000422.SZ,农药化肥
000423.SZ,中成药
000425.SZ,工程机械
000426.SZ,铅锌
000428.SZ,酒店餐饮
000429.SZ,路桥
000430.SZ,旅游景点
000488.SZ,造纸
000498.SZ,建筑工程
000501.SZ,百货
000503.SZ,软件服务
000504.SZ,医疗保健
000505.SZ,食品
000506.SZ,黄金
000507.SZ,新型电力
000509.SZ,元器件
000510.SZ,化工原料
000513.SZ,化学制药
000514.SZ,区域地产
000516.SZ,医疗保健
000517.SZ,区域地产
000518.SZ,生物制药
000519.SZ,专用机械
000520.SZ,水运
000521.SZ,家用电器
000523.SZ,食品
000524.SZ,旅游服务
000525.SZ,农药化肥
000526.SZ,文教休闲
000528.SZ,工程机械
000529.SZ,食品
000530.SZ,机械基件
000531.SZ,火力发电
000532.SZ,多元金融
000533.SZ,电气设备
000534.SZ,生物制药
000536.SZ,元器件
000537.SZ,新型电力
000538.SZ,中成药
000539.SZ,火力发电
000541.SZ,家用电器
000543.SZ,火力发电
000544.SZ,环境保护
000545.SZ,化工原料
000546.SZ,环境保护
000547.SZ,通信设备
000548.SZ,路桥
000550.SZ,汽车整车
000551.SZ,专用机械
000552.SZ,煤炭开采
000553.SZ,农药化肥
000554.SZ,石油贸易
000555.SZ,软件服务
000557.SZ,铁路
000558.SZ,旅游景点
000559.SZ,汽车配件
000560.SZ,房产服务
000561.SZ,通信设备
000563.SZ,多元金融
000564.SZ,百货
000565.SZ,染料涂料
000566.SZ,化学制药
000567.SZ,多元金融
000568.SZ,白酒
000570.SZ,农用机械
000571.SZ,煤炭开采
000572.SZ,汽车整车
000573.SZ,区域地产
000576.SZ,电气设备
000581.SZ,汽车配件
000582.SZ,港口
000586.SZ,通信设备
000589.SZ,汽车配件
000590.SZ,中成药
000591.SZ,新型电力
000592.SZ,林业
000593.SZ,供气供热
000595.SZ,新型电力
000596.SZ,白酒
000597.SZ,化学制药
000598.SZ,水务
000599.SZ,汽车配件
000600.SZ,火力发电
000601.SZ,水力发电
000603.SZ,铅锌
000605.SZ,水务
000607.SZ,广告包装
000608.SZ,区域地产
000609.SZ,区域地产
000610.SZ,旅游服务
000612.SZ,铝
000615.SZ,医疗保健
000617.SZ,多元金融
000619.SZ,其他建材
000620.SZ,全国地产
000623.SZ,中成药
000625.SZ,汽车整车
000626.SZ,商贸代理
000628.SZ,建筑工程
000629.SZ,小金属
000630.SZ,铜
000631.SZ,综合类
000632.SZ,综合类
000633.SZ,小金属
000635.SZ,化工原料
000636.SZ,元器件
000637.SZ,石油加工
000638.SZ,农业综合
000639.SZ,食品
000650.SZ,中成药
000651.SZ,家用电器
000652.SZ,批发业
000655.SZ,普钢
000656.SZ,全国地产
000657.SZ,小金属
000659.SZ,广告包装
000661.SZ,生物制药
000663.SZ,林业
000665.SZ,影视音像
000668.SZ,房产服务
000669.SZ,供气供热
000670.SZ,元器件
000672.SZ,水泥
000676.SZ,互联网
000677.SZ,化纤
000678.SZ,汽车配件
000679.SZ,百货
000680.SZ,工程机械
000681.SZ,互联网
000682.SZ,电气设备
000683.SZ,化工原料
000685.SZ,水务
000686.SZ,证券
000688.SZ,铅锌
000690.SZ,火力发电
000691.SZ,化工原料
000692.SZ,供气供热
000695.SZ,化工原料
000697.SZ,航空
000698.SZ,石油加工
000700.SZ,汽车配件
000701.SZ,商贸代理
000702.SZ,饲料
000703.SZ,化纤
000705.SZ,医药商业
000707.SZ,化工原料
000708.SZ,特种钢
000709.SZ,普钢
000710.SZ,医疗保健
000711.SZ,环境保护
000712.SZ,证券
000713.SZ,种植业
000715.SZ,百货
000716.SZ,食品
000717.SZ,普钢
000718.SZ,区域地产
000719.SZ,出版业
000720.SZ,电气设备
000721.SZ,酒店餐饮
000722.SZ,水力发电
000723.SZ,焦炭加工
000725.SZ,元器件
000726.SZ,纺织
000727.SZ,元器件
000728.SZ,证券
000729.SZ,啤酒
000731.SZ,农药化肥
000733.SZ,元器件
000735.SZ,农业综合
000736.SZ,全国地产
000737.SZ,铜
000738.SZ,航空
000739.SZ,化学制药
000750.SZ,证券
000751.SZ,铅锌
000752.SZ,啤酒
000753.SZ,综合类
000755.SZ,路桥
000756.SZ,化学制药
000757.SZ,汽车服务
000758.SZ,铅锌
000759.SZ,超市连锁
000761.SZ,普钢
000762.SZ,小金属
000766.SZ,化学制药
000767.SZ,火力发电
000768.SZ,航空
000776.SZ,证券
000777.SZ,机械基件
000778.SZ,钢加工
000779.SZ,建筑工程
000782.SZ,化纤
000783.SZ,证券
000785.SZ,百货
000786.SZ,其他建材
000788.SZ,化学制药
000789.SZ,水泥
000790.SZ,中成药
000791.SZ,水力发电
000792.SZ,农药化肥
000793.SZ,出版业
000795.SZ,矿物制品
000796.SZ,旅游服务
000797.SZ,全国地产
000798.SZ,渔业
000799.SZ,白酒
000800.SZ,汽车整车
000801.SZ,家用电器
000802.SZ,影视音像
000803.SZ,环境保护
000807.SZ,铝
000809.SZ,电气设备
000810.SZ,家用电器
000811.SZ,工程机械
000812.SZ,广告包装
000813.SZ,化学制药
000815.SZ,通信设备
000816.SZ,农用机械
000818.SZ,化工原料
000819.SZ,石油加工
000820.SZ,综合类
000821.SZ,电气设备
000822.SZ,化工原料
000823.SZ,元器件
000825.SZ,特种钢
000826.SZ,环境保护
000828.SZ,路桥
000829.SZ,其他商业
000830.SZ,化工原料
000831.SZ,小金属
000833.SZ,综合类
000837.SZ,机床制造
000838.SZ,区域地产
000839.SZ,综合类
000848.SZ,软饮料
000850.SZ,纺织
000852.SZ,化工机械
000856.SZ,专用机械
000858.SZ,白酒
000859.SZ,塑料
000860.SZ,白酒
000862.SZ,新型电力
000863.SZ,区域地产
000868.SZ,汽车整车
000869.SZ,红黄酒
000875.SZ,火力发电
000876.SZ,饲料
000877.SZ,水泥
000878.SZ,铜
000880.SZ,专用机械
000881.SZ,化工原料
000882.SZ,其他商业
000883.SZ,水力发电
000885.SZ,环境保护
000886.SZ,区域地产
000887.SZ,汽车配件
000888.SZ,旅游景点
000889.SZ,通信设备
000890.SZ,环境保护
000892.SZ,影视音像
000893.SZ,农药化肥
000895.SZ,食品
000897.SZ,区域地产
000898.SZ,普钢
000899.SZ,火力发电
000900.SZ,路桥
000901.SZ,汽车配件
000902.SZ,农药化肥
000903.SZ,汽车配件
000905.SZ,港口
000906.SZ,仓储物流
000908.SZ,化学制药
000909.SZ,区域地产
000910.SZ,家居用品
000911.SZ,食品
000912.SZ,农药化肥
000913.SZ,摩托车
000915.SZ,化学制药
000917.SZ,广告包装
000919.SZ,化学制药
000920.SZ,塑料
000921.SZ,家用电器
000922.SZ,电气设备
000923.SZ,普钢
000925.SZ,运输设备
000926.SZ,区域地产
000927.SZ,仓储物流
000928.SZ,建筑工程
000929.SZ,啤酒
000930.SZ,农业综合
000931.SZ,化学制药
000932.SZ,普钢
000933.SZ,铝
000935.SZ,水泥
000936.SZ,化纤
000937.SZ,煤炭开采
000938.SZ,IT设备
000948.SZ,软件服务
000949.SZ,化纤
000950.SZ,医药商业
000951.SZ,汽车整车
000952.SZ,化学制药
000953.SZ,化学制药
000955.SZ,纺织
000957.SZ,汽车整车
000958.SZ,多元金融
000959.SZ,普钢
000960.SZ,小金属
000962.SZ,小金属
000963.SZ,化学制药
000965.SZ,区域地产
000966.SZ,火力发电
000967.SZ,环境保护
000968.SZ,石油开采
000969.SZ,小金属
000970.SZ,矿物制品
000972.SZ,食品
000973.SZ,塑料
000975.SZ,黄金
000977.SZ,IT设备
000978.SZ,旅游景点
000980.SZ,汽车配件
000981.SZ,汽车配件
000983.SZ,煤炭开采
000985.SZ,化工原料
000987.SZ,多元金融
000988.SZ,专用机械
000989.SZ,中成药
000990.SZ,化工原料
000993.SZ,水力发电
000995.SZ,白酒
000997.SZ,IT设备
000998.SZ,种植业
000999.SZ,中成药
001201.SZ,农业综合
001202.SZ,仓储物流
001203.SZ,普钢
001205.SZ,水运
