ts_code,code,name,total_market_val
00700.HK,HK.00700,腾讯控股,4502569873602.4
01398.HK,HK.01398,工商银行,2587509426466.14
00005.HK,HK.00005,汇丰控股,2405698474200.0
00939.HK,HK.00939,建设银行,2341323414058.05
01288.HK,HK.01288,农业银行,2166394979673.87
00857.HK,HK.00857,中国石油股份,2073627678677.94
00941.HK,HK.00941,中国移动,1817059180090.8
00883.HK,HK.00883,中国海洋石油,1326085716153.6
02318.HK,HK.02318,中国平安,1103660779595.25
01088.HK,HK.01088,中国神华,1037622537103.36
01211.HK,HK.01211,比亚迪股份,922660393578.0
01299.HK,HK.01299,友邦保险,858002605511.6
01810.HK,HK.01810,小米集团-W,808705131124.8
00300.HK,HK.00300,美的集团,678445838727.6
01658.HK,HK.01658,邮储银行,636503783507.6
00386.HK,HK.00386,中国石油化工股份,555048110278.98
00388.HK,HK.00388,香港交易所,521841665982.0
00981.HK,HK.00981,中芯国际,515243915573.7
00945.HK,HK.00945,宏利金融-S,504008451038.4
02388.HK,HK.02388,中银香港,467528343362.52
00998.HK,HK.00998,中信银行,464080653281.76
00728.HK,HK.00728,中国电信,458450764881.99
01276.HK,HK.01276,恒瑞医药,456971211324.9
02259.HK,HK.02259,紫金黄金国际,422593975470.0
00016.HK,HK.00016,新鸿基地产,396706119510.6
00267.HK,HK.00267,中信股份,376427998432.2
02359.HK,HK.02359,药明康德,369090760073.5
01378.HK,HK.01378,中国宏桥,361199014212.4
02328.HK,HK.02328,中国财险,316069694955.63
02338.HK,HK.02338,潍柴动力,309638592791.84
02378.HK,HK.02378,保诚,296991057980.1
00001.HK,HK.00001,长和,249910403625.0
00175.HK,HK.00175,吉利汽车,248587105226.94
01339.HK,HK.01339,中国人民保险集团,236598349619.05
02020.HK,HK.02020,安踏体育,233380717885.0
01109.HK,HK.01109,华润置地,229616254443.8
01919.HK,HK.01919,中远海控,225862141893.5
00762.HK,HK.00762,中国联通,222142382744.7
00066.HK,HK.00066,港铁公司,215503378180.02
00669.HK,HK.00669,创科实业,207309535315.3
00788.HK,HK.00788,中国铁塔,196425453658.32
00002.HK,HK.00002,中电控股,190494372978.0
01024.HK,HK.01024,快手-W,189968172898.6
01347.HK,HK.01347,华虹半导体,187838040063.3
01898.HK,HK.01898,中煤能源,183367314822.0
01772.HK,HK.01772,赣锋锂业,172033775848.2
01816.HK,HK.01816,中广核电力,171190803000.33
01113.HK,HK.01113,长实集团,169879240283.82
01038.HK,HK.01038,长江基建集团,167680108389.75
01988.HK,HK.01988,民生银行,161557124272.38
02057.HK,HK.02057,中通快递-W,154878792166.8
01171.HK,HK.01171,兖矿能源,153774201934.08
01336.HK,HK.01336,新华保险,153107347128.0
01801.HK,HK.01801,信达生物,148879391146.2
00992.HK,HK.00992,联想集团,148855911624.0
00012.HK,HK.00012,恒基地产,146984509411.08
00027.HK,HK.00027,银河娱乐,145303206824.16
01766.HK,HK.01766,中国中车,145216252285.28
01972.HK,HK.01972,太古地产,143361371520.0
02015.HK,HK.02015,理想汽车-W,143316605950.2
01072.HK,HK.01072,东方电气,141792773366.0
01787.HK,HK.01787,山东黄金,141156042055.5
02423.HK,HK.02423,贝壳-W,140484046731.74
02269.HK,HK.02269,药明生物,138698835974.72
00006.HK,HK.00006,电能实业,138628390267.7
00288.HK,HK.00288,万洲国际,135872025034.5
00688.HK,HK.00688,中国海外发展,135497658163.3
00003.HK,HK.00003,香港中华煤气,135470656911.48
01880.HK,HK.01880,中国中免,133602324209.2
01928.HK,HK.01928,金沙中国有限公司,132731424882.4
01776.HK,HK.01776,广发证券,131613901495.02
00358.HK,HK.00358,江西铜业股份,129090552218.4
02050.HK,HK.02050,三花智控,129017707247.1
01179.HK,HK.01179,华住集团-S,126328528840.2
00083.HK,HK.00083,信和置业,118292982987.98
01698.HK,HK.01698,腾讯音乐-SW,115965283560.0
00763.HK,HK.00763,中兴通讯,115952885660.88
02097.HK,HK.02097,蜜雪集团,113202326160.0
02333.HK,HK.02333,长城汽车,111166760722.35
01208.HK,HK.01208,五矿资源,110114610873.12
01929.HK,HK.01929,周大福,107626545586.0
01209.HK,HK.01209,华润万象生活,106729700000.0
01888.HK,HK.01888,建滔积层板,106726463000.0
01177.HK,HK.01177,中国生物制药,106473685866.4
00914.HK,HK.00914,海螺水泥,105933058554.21
01818.HK,HK.01818,招金矿业,104075512333.52
01093.HK,HK.01093,石药集团,103471616553.36
00836.HK,HK.00836,华润电力,102816366716.4
00390.HK,HK.00390,中国中铁,100472923251.03
01876.HK,HK.01876,百威亚太,99987647350.0
00902.HK,HK.00902,华能国际电力股份,99839873763.24
01138.HK,HK.01138,中远海能,98811192769.12
01913.HK,HK.01913,普拉达,96007076480.0
01519.HK,HK.01519,极兔速递-W,92237961981.9
00316.HK,HK.00316,东方海外国际,90074917710.8
00670.HK,HK.00670,中国东方航空股份,88792701413.4
01308.HK,HK.01308,海丰国际,85751619388.16
00753.HK,HK.00753,中国国航,85671747110.0
00291.HK,HK.00291,华润啤酒,84673017220.5
00020.HK,HK.00020,商汤-W,82248679127.09
00966.HK,HK.00966,中国太平,76265073376.36
01055.HK,HK.01055,中国南方航空股份,74658380406.16
00241.HK,HK.00241,阿里健康,73921125410.05
01186.HK,HK.01186,中国铁建,73465319515.0
01800.HK,HK.01800,中国交通建设,73235899012.5
