ts_code,code,name,total_market_val
MMM.US,MMM,3M,0
AOS.US,AOS,A. O. Smith,0
ABT.US,ABT,Abbott Laboratories,0
ABBV.US,ABBV,AbbVie,0
ACN.US,ACN,Accenture,0
ADBE.US,ADBE,Adobe Inc.,0
AMD.US,AMD,Advanced Micro Devices,0
AES.US,AES,AES Corporation,0
AFL.US,AFL,Aflac,0
A.US,A,Agilent Technologies,0
APD.US,APD,Air Products,0
ABNB.US,ABNB,Airbnb,0
AKAM.US,AKAM,Akamai Technologies,0
ALB.US,ALB,Albemarle Corporation,0
ARE.US,ARE,Alexandria Real Estate Equities,0
ALGN.US,ALGN,Align Technology,0
ALLE.US,ALLE,Allegion,0
LNT.US,LNT,Alliant Energy,0
ALL.US,ALL,Allstate,0
GOOGL.US,GOOGL,Alphabet Inc. (Class A),0
GOOG.US,GOOG,Alphabet Inc. (Class C),0
MO.US,MO,Altria,0
AMZN.US,AMZN,Amazon,0
AMCR.US,AMCR,Amcor,0
AEE.US,AEE,Ameren,0
AEP.US,AEP,American Electric Power,0
AXP.US,AXP,American Express,0
AIG.US,AIG,American International Group,0
AMT.US,AMT,American Tower,0
AWK.US,AWK,American Water Works,0
AMP.US,AMP,Ameriprise Financial,0
AME.US,AME,Ametek,0
AMGN.US,AMGN,Amgen,0
APH.US,APH,Amphenol,0
ADI.US,ADI,Analog Devices,0
AON.US,AON,Aon plc,0
APA.US,APA,APA Corporation,0
APO.US,APO,Apollo Global Management,0
AAPL.US,AAPL,Apple Inc.,0
AMAT.US,AMAT,Applied Materials,0
APP.US,APP,AppLovin,0
APTV.US,APTV,Aptiv,0
ACGL.US,ACGL,Arch Capital Group,0
ADM.US,ADM,Archer Daniels Midland,0
ARES.US,ARES,Ares Management,0
ANET.US,ANET,Arista Networks,0
AJG.US,AJG,Arthur J. Gallagher & Co.,0
AIZ.US,AIZ,Assurant,0
T.US,T,AT&T,0
ATO.US,ATO,Atmos Energy,0
ADSK.US,ADSK,Autodesk,0
ADP.US,ADP,Automatic Data Processing,0
AZO.US,AZO,AutoZone,0
AVB.US,AVB,AvalonBay Communities,0
AVY.US,AVY,Avery Dennison,0
AXON.US,AXON,Axon Enterprise,0
BKR.US,BKR,Baker Hughes,0
BALL.US,BALL,Ball Corporation,0
BAC.US,BAC,Bank of America,0
BAX.US,BAX,Baxter International,0
BDX.US,BDX,Becton Dickinson,0
BRK.B.US,BRK.B,Berkshire Hathaway,0
BBY.US,BBY,Best Buy,0
TECH.US,TECH,Bio-Techne,0
BIIB.US,BIIB,Biogen,0
BLK.US,BLK,BlackRock,0
BX.US,BX,Blackstone Inc.,0
XYZ.US,XYZ,"Block, Inc.",0
BK.US,BK,BNY Mellon,0
BA.US,BA,Boeing,0
BKNG.US,BKNG,Booking Holdings,0
BSX.US,BSX,Boston Scientific,0
BMY.US,BMY,Bristol Myers Squibb,0
AVGO.US,AVGO,Broadcom,0
BR.US,BR,Broadridge Financial Solutions,0
BRO.US,BRO,Brown & Brown,0
BF.B.US,BF.B,Brown–Forman,0
BLDR.US,BLDR,Builders FirstSource,0
BG.US,BG,Bunge Global,0
BXP.US,BXP,"BXP, Inc.",0
CHRW.US,CHRW,C.H. Robinson,0
CDNS.US,CDNS,Cadence Design Systems,0
CPT.US,CPT,Camden Property Trust,0
CPB.US,CPB,Campbell's Company (The),0
COF.US,COF,Capital One,0
CAH.US,CAH,Cardinal Health,0
CCL.US,CCL,Carnival,0
CARR.US,CARR,Carrier Global,0
CVNA.US,CVNA,Carvana,0
CASY.US,CASY,Casey's,0
CAT.US,CAT,Caterpillar Inc.,0
CBOE.US,CBOE,Cboe Global Markets,0
CBRE.US,CBRE,CBRE Group,0
CDW.US,CDW,CDW Corporation,0
COR.US,COR,Cencora,0
CNC.US,CNC,Centene Corporation,0
CNP.US,CNP,CenterPoint Energy,0
CF.US,CF,CF Industries,0
CRL.US,CRL,Charles River Laboratories,0
SCHW.US,SCHW,Charles Schwab Corporation,0
CHTR.US,CHTR,Charter Communications,0
CVX.US,CVX,Chevron Corporation,0
CMG.US,CMG,Chipotle Mexican Grill,0
CB.US,CB,Chubb Limited,0
CHD.US,CHD,Church & Dwight,0
CIEN.US,CIEN,Ciena,0
CI.US,CI,Cigna,0
CINF.US,CINF,Cincinnati Financial,0
CTAS.US,CTAS,Cintas,0
CSCO.US,CSCO,Cisco,0
C.US,C,Citigroup,0
CFG.US,CFG,Citizens Financial Group,0
CLX.US,CLX,Clorox,0
CME.US,CME,CME Group,0
CMS.US,CMS,CMS Energy,0
KO.US,KO,Coca-Cola Company (The),0
CTSH.US,CTSH,Cognizant,0
COHR.US,COHR,Coherent Corp.,0
COIN.US,COIN,Coinbase,0
CL.US,CL,Colgate-Palmolive,0
CMCSA.US,CMCSA,Comcast,0
FIX.US,FIX,Comfort Systems USA,0
CAG.US,CAG,Conagra Brands,0
COP.US,COP,ConocoPhillips,0
ED.US,ED,Consolidated Edison,0
STZ.US,STZ,Constellation Brands,0
CEG.US,CEG,Constellation Energy,0
COO.US,COO,Cooper Companies (The),0
CPRT.US,CPRT,Copart,0
GLW.US,GLW,Corning Inc.,0
CPAY.US,CPAY,Corpay,0
CTVA.US,CTVA,Corteva,0
CSGP.US,CSGP,CoStar Group,0
COST.US,COST,Costco,0
CTRA.US,CTRA,Coterra,0
CRH.US,CRH,CRH plc,0
CRWD.US,CRWD,CrowdStrike,0
CCI.US,CCI,Crown Castle,0
CSX.US,CSX,CSX Corporation,0
CMI.US,CMI,Cummins,0
CVS.US,CVS,CVS Health,0
DHR.US,DHR,Danaher Corporation,0
DRI.US,DRI,Darden Restaurants,0
DDOG.US,DDOG,Datadog,0
DVA.US,DVA,DaVita,0
DECK.US,DECK,Deckers Brands,0
DE.US,DE,Deere & Company,0
DELL.US,DELL,Dell Technologies,0
DAL.US,DAL,Delta Air Lines,0
DVN.US,DVN,Devon Energy,0
DXCM.US,DXCM,Dexcom,0
FANG.US,FANG,Diamondback Energy,0
DLR.US,DLR,Digital Realty,0
DG.US,DG,Dollar General,0
DLTR.US,DLTR,Dollar Tree,0
D.US,D,Dominion Energy,0
DPZ.US,DPZ,Domino's,0
DASH.US,DASH,DoorDash,0
DOV.US,DOV,Dover Corporation,0
DOW.US,DOW,Dow Inc.,0
DHI.US,DHI,D. R. Horton,0
DTE.US,DTE,DTE Energy,0
DUK.US,DUK,Duke Energy,0
DD.US,DD,DuPont,0
ETN.US,ETN,Eaton Corporation,0
EBAY.US,EBAY,eBay Inc.,0
SATS.US,SATS,EchoStar,0
ECL.US,ECL,Ecolab,0
EIX.US,EIX,Edison International,0
EW.US,EW,Edwards Lifesciences,0
EA.US,EA,Electronic Arts,0
ELV.US,ELV,Elevance Health,0
EME.US,EME,Emcor,0
EMR.US,EMR,Emerson Electric,0
ETR.US,ETR,Entergy,0
EOG.US,EOG,EOG Resources,0
EPAM.US,EPAM,EPAM Systems,0
EQT.US,EQT,EQT Corporation,0
EFX.US,EFX,Equifax,0
EQIX.US,EQIX,Equinix,0
EQR.US,EQR,Equity Residential,0
ERIE.US,ERIE,Erie Indemnity,0
ESS.US,ESS,Essex Property Trust,0
EL.US,EL,Estée Lauder Companies (The),0
EG.US,EG,Everest Group,0
EVRG.US,EVRG,Evergy,0
ES.US,ES,Eversource Energy,0
EXC.US,EXC,Exelon,0
EXE.US,EXE,Expand Energy,0
EXPE.US,EXPE,Expedia Group,0
EXPD.US,EXPD,Expeditors International,0
EXR.US,EXR,Extra Space Storage,0
XOM.US,XOM,ExxonMobil,0
FFIV.US,FFIV,"F5, Inc.",0
FDS.US,FDS,FactSet,0
FICO.US,FICO,Fair Isaac,0
FAST.US,FAST,Fastenal,0
FRT.US,FRT,Federal Realty Investment Trust,0
FDX.US,FDX,FedEx,0
FIS.US,FIS,Fidelity National Information Services,0
FITB.US,FITB,Fifth Third Bancorp,0
FSLR.US,FSLR,First Solar,0
FE.US,FE,FirstEnergy,0
FISV.US,FISV,Fiserv,0
F.US,F,Ford Motor Company,0
FTNT.US,FTNT,Fortinet,0
FTV.US,FTV,Fortive,0
FOXA.US,FOXA,Fox Corporation (Class A),0
FOX.US,FOX,Fox Corporation (Class B),0
BEN.US,BEN,Franklin Resources,0
FCX.US,FCX,Freeport-McMoRan,0
GRMN.US,GRMN,Garmin,0
