code,name,verdict,pe,pb,industry,source
000973.SZ,000973.SZ,pass,,,other,akshare
300969.SZ,300969.SZ,pass,,,other,akshare
300814.SZ,300814.SZ,pass,,,other,akshare
300322.SZ,300322.SZ,pass,,,other,akshare
001233.SZ,001233.SZ,pass,,,other,akshare
300342.SZ,300342.SZ,pass,,,other,akshare
000998.SZ,000998.SZ,pass,,,other,akshare
002768.SZ,002768.SZ,pass,,,other,akshare
002961.SZ,002961.SZ,pass,,,other,akshare
001267.SZ,001267.SZ,pass,,,other,akshare
002250.SZ,002250.SZ,pass,,,other,akshare
001369.SZ,001369.SZ,pass,,,other,akshare
002246.SZ,002246.SZ,pass,,,other,akshare
300376.SZ,300376.SZ,pass,,,other,akshare
002549.SZ,002549.SZ,pass,,,other,akshare
300990.SZ,300990.SZ,pass,,,other,akshare
002181.SZ,002181.SZ,pass,,,other,akshare
001359.SZ,001359.SZ,pass,,,other,akshare
300503.SZ,300503.SZ,pass,,,other,akshare
000506.SZ,000506.SZ,pass,,,other,akshare
300529.SZ,300529.SZ,pass,,,other,akshare
002290.SZ,002290.SZ,pass,,,other,akshare
300684.SZ,300684.SZ,pass,,,other,akshare
000962.SZ,000962.SZ,pass,,,other,akshare
002922.SZ,002922.SZ,pass,,,other,akshare
300353.SZ,300353.SZ,pass,,,other,akshare
002372.SZ,002372.SZ,pass,,,other,akshare
000534.SZ,000534.SZ,pass,,,other,akshare
300601.SZ,300601.SZ,pass,,,other,akshare
300070.SZ,300070.SZ,pass,,,other,akshare
001896.SZ,001896.SZ,pass,,,other,akshare
003010.SZ,003010.SZ,pass,,,other,akshare
002838.SZ,002838.SZ,pass,,,other,akshare
002958.SZ,002958.SZ,pass,,,other,akshare
300153.SZ,300153.SZ,pass,,,other,akshare
300680.SZ,300680.SZ,pass,,,other,akshare
002639.SZ,002639.SZ,pass,,,other,akshare
688691.SH,688691.SH,pass,,,other,akshare
300806.SZ,300806.SZ,pass,,,other,akshare
000563.SZ,000563.SZ,pass,,,other,akshare
603707.SH,603707.SH,pass,,,other,akshare
000998.SZ,000998.SZ,pass,,,other,akshare
600184.SH,600184.SH,pass,,,other,akshare
603132.SH,603132.SH,pass,,,other,akshare
603402.SH,603402.SH,pass,,,other,akshare
301563.SZ,301563.SZ,pass,,,other,akshare
300342.SZ,300342.SZ,pass,,,other,akshare
301225.SZ,301225.SZ,pass,,,other,akshare
300969.SZ,300969.SZ,pass,,,other,akshare
301584.SZ,301584.SZ,pass,,,other,akshare
601568.SH,601568.SH,pass,,,other,akshare
603418.SH,603418.SH,pass,,,other,akshare
002549.SZ,002549.SZ,pass,,,other,akshare
301489.SZ,301489.SZ,pass,,,other,akshare
002181.SZ,002181.SZ,pass,,,other,akshare
002961.SZ,002961.SZ,pass,,,other,akshare
603319.SH,603319.SH,pass,,,other,akshare
000506.SZ,000506.SZ,pass,,,other,akshare
002958.SZ,002958.SZ,pass,,,other,akshare
301389.SZ,301389.SZ,pass,,,other,akshare
603301.SH,603301.SH,pass,,,other,akshare
603406.SH,603406.SH,pass,,,other,akshare
002639.SZ,002639.SZ,pass,,,other,akshare
301413.SZ,301413.SZ,pass,,,other,akshare
603929.SH,603929.SH,pass,,,other,akshare
300601.SZ,300601.SZ,pass,,,other,akshare
002922.SZ,002922.SZ,pass,,,other,akshare
300806.SZ,300806.SZ,pass,,,other,akshare
000962.SZ,000962.SZ,pass,,,other,akshare
301005.SZ,301005.SZ,pass,,,other,akshare
002372.SZ,002372.SZ,pass,,,other,akshare
300503.SZ,300503.SZ,pass,,,other,akshare
300353.SZ,300353.SZ,pass,,,other,akshare
688691.SH,688691.SH,pass,,,other,akshare
600528.SH,600528.SH,pass,,,other,akshare
601965.SH,601965.SH,pass,,,other,akshare
603248.SH,603248.SH,pass,,,other,akshare
000563.SZ,000563.SZ,pass,,,other,akshare
301662.SZ,301662.SZ,pass,,,other,akshare
601921.SH,601921.SH,pass,,,other,akshare
002246.SZ,002246.SZ,pass,,,other,akshare
002250.SZ,002250.SZ,pass,,,other,akshare
000998.SZ,000998.SZ,pass,,,other,akshare
000563.SZ,000563.SZ,pass,,,other,akshare
001369.SZ,001369.SZ,pass,,,other,akshare
300806.SZ,300806.SZ,pass,,,other,akshare
301389.SZ,301389.SZ,pass,,,other,akshare
688392.SH,688392.SH,pass,,,other,akshare
688668.SH,688668.SH,pass,,,other,akshare
002372.SZ,002372.SZ,pass,,,other,akshare
001267.SZ,001267.SZ,pass,,,other,akshare
603929.SH,603929.SH,pass,,,other,akshare
301632.SZ,301632.SZ,pass,,,other,akshare
300680.SZ,300680.SZ,pass,,,other,akshare
688025.SH,688025.SH,pass,,,other,akshare
688605.SH,688605.SH,pass,,,other,akshare
600184.SH,600184.SH,pass,,,other,akshare
688691.SH,688691.SH,pass,,,other,akshare
301196.SZ,301196.SZ,pass,,,other,akshare
301005.SZ,301005.SZ,pass,,,other,akshare
