code,name,verdict,pe,pb,industry,source
HK.00700,腾讯控股,pass,,,other,yfinance
HK.01398,工商银行,pass,,,financial,yfinance
HK.00005,汇丰控股,pass,,,other,yfinance
HK.00939,建设银行,pass,,,financial,yfinance
HK.01288,农业银行,pass,,,financial,yfinance
HK.00857,中国石油股份,pass,,,energy,yfinance
HK.00941,中国移动,pass,,,other,yfinance
HK.00883,中国海洋石油,pass,,,energy,yfinance
HK.02318,中国平安,pass,,,other,yfinance
HK.01088,中国神华,pass,,,other,yfinance
HK.01211,比亚迪股份,pass,,,other,yfinance
HK.01299,友邦保险,pass,,,financial,yfinance
HK.01810,小米集团-W,pass,,,other,yfinance
HK.00300,美的集团,pass,,,other,yfinance
HK.01658,邮储银行,pass,,,financial,yfinance
HK.00386,中国石油化工股份,pass,,,manufacturing,yfinance
HK.00388,香港交易所,pass,,,other,yfinance
HK.00981,中芯国际,pass,,,other,yfinance
HK.00945,宏利金融-S,pass,,,other,yfinance
HK.02388,中银香港,pass,,,other,yfinance
HK.00998,中信银行,pass,,,financial,yfinance
HK.00728,中国电信,pass,,,other,yfinance
HK.01276,恒瑞医药,pass,,,healthcare,yfinance
HK.02259,紫金黄金国际,pass,,,other,yfinance
HK.00016,新鸿基地产,pass,,,property,yfinance
HK.00267,中信股份,pass,,,other,yfinance
HK.02359,药明康德,pass,,,other,yfinance
HK.01378,中国宏桥,pass,,,other,yfinance
HK.02328,中国财险,pass,,,other,yfinance
HK.02338,潍柴动力,pass,,,other,yfinance
HK.02378,保诚,pass,,,other,yfinance
HK.00001,长和,pass,,,other,yfinance
HK.00175,吉利汽车,pass,,,other,yfinance
HK.01339,中国人民保险集团,pass,,,financial,yfinance
HK.02020,安踏体育,pass,,,other,yfinance
HK.01109,华润置地,pass,,,other,yfinance
HK.01919,中远海控,pass,,,other,yfinance
HK.00762,中国联通,pass,,,other,yfinance
HK.00066,港铁公司,pass,,,other,yfinance
HK.00669,创科实业,pass,,,other,yfinance
HK.00788,中国铁塔,pass,,,other,yfinance
HK.00002,中电控股,pass,,,other,yfinance
HK.01024,快手-W,pass,,,other,yfinance
HK.01347,华虹半导体,pass,,,other,yfinance
HK.01898,中煤能源,pass,,,energy,yfinance
HK.01772,赣锋锂业,pass,,,other,yfinance
HK.01816,中广核电力,pass,,,utility,yfinance
HK.01113,长实集团,pass,,,other,yfinance
HK.01038,长江基建集团,pass,,,property,yfinance
HK.01988,民生银行,pass,,,financial,yfinance
HK.02057,中通快递-W,pass,,,other,yfinance
HK.01171,兖矿能源,pass,,,energy,yfinance
HK.01336,新华保险,pass,,,financial,yfinance
HK.01801,信达生物,pass,,,healthcare,yfinance
HK.00992,联想集团,pass,,,other,yfinance
HK.00012,恒基地产,pass,,,property,yfinance
HK.00027,银河娱乐,pass,,,other,yfinance
HK.01766,中国中车,pass,,,other,yfinance
HK.01972,太古地产,pass,,,property,yfinance
HK.02015,理想汽车-W,pass,,,other,yfinance
HK.01072,东方电气,pass,,,other,yfinance
HK.01787,山东黄金,pass,,,other,yfinance
HK.02423,贝壳-W,pass,,,other,yfinance
HK.02269,药明生物,pass,,,healthcare,yfinance
HK.00006,电能实业,pass,,,other,yfinance
HK.00288,万洲国际,pass,,,other,yfinance
HK.00688,中国海外发展,pass,,,other,yfinance
HK.00003,香港中华煤气,pass,,,other,yfinance
HK.01880,中国中免,pass,,,other,yfinance
HK.01928,金沙中国有限公司,pass,,,other,yfinance
HK.01776,广发证券,pass,,,other,yfinance
HK.00358,江西铜业股份,pass,,,other,yfinance
HK.02050,三花智控,pass,,,other,yfinance
HK.01179,华住集团-S,pass,,,other,yfinance
HK.00083,信和置业,pass,,,other,yfinance
HK.01698,腾讯音乐-SW,pass,,,other,yfinance
HK.00763,中兴通讯,pass,,,other,yfinance
HK.02097,蜜雪集团,pass,,,other,yfinance
HK.02333,长城汽车,pass,,,other,yfinance
HK.01208,五矿资源,pass,,,other,yfinance
HK.01929,周大福,pass,,,other,yfinance
HK.01209,华润万象生活,pass,,,other,yfinance
HK.01888,建滔积层板,pass,,,other,yfinance
HK.01177,中国生物制药,pass,,,healthcare,yfinance
HK.00914,海螺水泥,pass,,,other,yfinance
HK.01818,招金矿业,pass,,,other,yfinance
HK.01093,石药集团,pass,,,other,yfinance
HK.00836,华润电力,pass,,,utility,yfinance
HK.00390,中国中铁,pass,,,other,yfinance
HK.01876,百威亚太,pass,,,other,yfinance
HK.00902,华能国际电力股份,pass,,,utility,yfinance
HK.01138,中远海能,pass,,,other,yfinance
HK.01913,普拉达,pass,,,other,yfinance
HK.01519,极兔速递-W,pass,,,other,yfinance
HK.00316,东方海外国际,pass,,,other,yfinance
HK.00670,中国东方航空股份,pass,,,other,yfinance
HK.01308,海丰国际,pass,,,other,yfinance
HK.00753,中国国航,pass,,,other,yfinance
HK.00291,华润啤酒,pass,,,other,yfinance
HK.00020,商汤-W,pass,,,other,yfinance
