code,name,verdict,pe,pb,industry,source
MMM,3M,pass,31.662766,25.963873,other,yfinance
AOS,A. O. Smith,pass,16.448,4.5269723,other,yfinance
ABT,Abbott Laboratories,pass,26.413105,3.10181,other,yfinance
ABBV,AbbVie,pass,123.45146,-67.50996,other,yfinance
ACN,Accenture,pass,10.300578,2.3932772,other,yfinance
ADBE,Adobe Inc.,pass,11.809497,7.1510715,other,yfinance
AMD,Advanced Micro Devices,pass,172.36101,13.641742,other,yfinance
AES,AES Corporation,borderline,7.619792,2.3604388,other,yfinance
AFL,Aflac,pass,13.739131,2.0461438,other,yfinance
A,Agilent Technologies,pass,27.331276,5.2635126,other,yfinance
APD,Air Products,pass,29.240303,3.8609848,other,yfinance
ABNB,Airbnb,pass,36.33827,11.467196,other,yfinance
AKAM,Akamai Technologies,pass,38.445946,3.3742511,other,yfinance
ALB,Albemarle Corporation,borderline,,2.0081427,other,yfinance
ARE,Alexandria Real Estate Equities,pass,,0.6031443,property,yfinance
ALGN,Align Technology,pass,30.005188,2.9933205,technology,yfinance
ALLE,Allegion,pass,19.077868,5.7114224,other,yfinance
LNT,Alliant Energy,pass,24.27044,2.6857362,energy,yfinance
ALL,Allstate,pass,5.3027244,2.1034927,other,yfinance
GOOGL,Alphabet Inc. (Class A),pass,26.95503,8.949992,other,yfinance
GOOG,Alphabet Inc. (Class C),pass,26.774391,8.890014,other,yfinance
MO,Altria,pass,15.395011,-38.527576,other,yfinance
AMZN,Amazon,pass,31.638998,5.8438177,other,yfinance
AMCR,Amcor,borderline,34.629032,1.7032247,other,yfinance
AEE,Ameren,pass,21.25974,2.3389533,other,yfinance
AEP,American Electric Power,pass,20.409763,2.3595507,utility,yfinance
AXP,American Express,pass,21.265127,6.838663,other,yfinance
AIG,American International Group,pass,13.225353,0.99076766,other,yfinance
AMT,American Tower,pass,28.3479,22.313797,other,yfinance
AWK,American Water Works,pass,23.534636,2.3443444,other,yfinance
AMP,Ameriprise Financial,pass,11.136341,6.4788795,financial,yfinance
AME,Ametek,pass,35.96369,4.9899244,other,yfinance
AMGN,Amgen,pass,24.934301,21.173948,other,yfinance
APH,Amphenol,pass,47.0113,14.636764,other,yfinance
ADI,Analog Devices,pass,57.445747,5.6555943,other,yfinance
AON,Aon plc,pass,18.047935,7.1150546,other,yfinance
APA,APA Corporation,pass,7.6829834,1.8044453,other,yfinance
APO,Apollo Global Management,pass,74.56494,3.5681438,other,yfinance
AAPL,Apple Inc.,pass,34.358536,38.80716,other,yfinance
AMAT,Applied Materials,pass,58.81795,23.067013,other,yfinance
APP,AppLovin,pass,41.494175,70.96756,other,yfinance
APTV,Aptiv,borderline,35.89697,1.3622355,other,yfinance
ACGL,Arch Capital Group,pass,7.502678,1.4756072,other,yfinance
ARES,Ares Management,pass,50.28037,9.456016,other,yfinance
ANET,Arista Networks,pass,53.980267,15.320699,other,yfinance
AJG,Arthur J. Gallagher & Co.,pass,36.63226,2.454131,other,yfinance
AIZ,Assurant,borderline,13.548028,2.2678459,other,yfinance
T,AT&T,pass,7.6561403,1.3858367,other,yfinance
ATO,Atmos Energy,pass,21.55857,1.957522,energy,yfinance
ADSK,Autodesk,pass,28.669605,12.917825,other,yfinance
ADP,Automatic Data Processing,pass,20.830555,14.192796,other,yfinance
AZO,AutoZone,pass,21.692255,-18.538603,other,yfinance
AVB,AvalonBay Communities,pass,23.900743,2.3289325,other,yfinance
AVY,Avery Dennison,pass,18.391893,5.442549,other,yfinance
AXON,Axon Enterprise,pass,207.56097,11.640791,other,yfinance
BKR,Baker Hughes,pass,18.10611,2.8915477,other,yfinance
BALL,Ball Corporation,pass,18.081633,2.9478588,other,yfinance
BAC,Bank of America,pass,14.362283,1.4969997,financial,yfinance
BAX,Baxter International,pass,,1.8818904,other,yfinance
BDX,Becton Dickinson,pass,27.08377,1.771899,other,yfinance
BRK.B,Berkshire Hathaway,pass,,,other,yfinance
BBY,Best Buy,pass,14.377777,5.306178,other,yfinance
TECH,Bio-Techne,pass,101.28572,5.495698,other,yfinance
BIIB,Biogen,pass,23.318623,1.7142925,other,yfinance
BLK,BlackRock,pass,24.269985,2.604133,other,yfinance
BX,Blackstone Inc.,pass,29.608246,10.779769,other,yfinance
XYZ,"Block, Inc.",pass,60.953125,2.115567,other,yfinance
BNY,BNY Mellon,pass,17.819084,2.5018268,other,yfinance
BA,Boeing,pass,86.22089,28.282177,other,yfinance
BKNG,Booking Holdings,pass,23.93832,-16.308449,other,yfinance
BSX,Boston Scientific,pass,18.502129,2.4985633,other,yfinance
BMY,Bristol Myers Squibb,pass,16.403362,5.958486,other,yfinance
AVGO,Broadcom,pass,60.560978,20.208899,other,yfinance
BR,Broadridge Financial Solutions,pass,14.485561,5.5592494,financial,yfinance
BRO,Brown & Brown,pass,20.833876,1.7020144,other,yfinance
BF.B,Brown–Forman,pass,,,other,yfinance
BLDR,Builders FirstSource,borderline,34.545803,2.4303207,other,yfinance
BXP,"BXP, Inc.",pass,33.873737,2.0656626,other,yfinance
CHRW,C.H. Robinson,pass,37.323235,12.8094015,other,yfinance
CDNS,Cadence Design Systems,pass,86.88112,15.667746,other,yfinance
CPT,Camden Property Trust,pass,32.427776,3.0127227,property,yfinance
COF,Capital One,borderline,62.04908,1.1658453,other,yfinance
CAH,Cardinal Health,borderline,36.119267,-19.601694,other,yfinance
