date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2024-06-14,Germany,Scotland,5.0,1.0,UEFA Euro,Munich,Germany,False
2024-06-15,Hungary,Switzerland,1.0,3.0,UEFA Euro,Cologne,Germany,True
2024-06-15,Spain,Croatia,3.0,0.0,UEFA Euro,Berlin,Germany,True
2024-06-15,Italy,Albania,2.0,1.0,UEFA Euro,Dortmund,Germany,True
2024-06-16,Slovenia,Denmark,1.0,1.0,UEFA Euro,Stuttgart,Germany,True
2024-06-16,Serbia,England,0.0,1.0,UEFA Euro,Gelsenkirchen,Germany,True
2024-06-16,Poland,Netherlands,1.0,2.0,UEFA Euro,Hamburg,Germany,True
2024-06-17,Austria,France,0.0,1.0,UEFA Euro,Düsseldorf,Germany,True
2024-06-17,Romania,Ukraine,3.0,0.0,UEFA Euro,Munich,Germany,True
2024-06-17,Belgium,Slovakia,0.0,1.0,UEFA Euro,Frankfurt,Germany,True
2024-06-18,Turkey,Georgia,3.0,1.0,UEFA Euro,Dortmund,Germany,True
2024-06-18,Portugal,Czech Republic,2.0,1.0,UEFA Euro,Leipzig,Germany,True
2024-06-19,Germany,Hungary,2.0,0.0,UEFA Euro,Stuttgart,Germany,False
2024-06-19,Scotland,Switzerland,1.0,1.0,UEFA Euro,Cologne,Germany,True
2024-06-19,Croatia,Albania,2.0,2.0,UEFA Euro,Hamburg,Germany,True
2024-06-20,Spain,Italy,1.0,0.0,UEFA Euro,Gelsenkirchen,Germany,True
2024-06-20,Slovenia,Serbia,1.0,1.0,UEFA Euro,Munich,Germany,True
2024-06-20,Denmark,England,1.0,1.0,UEFA Euro,Frankfurt,Germany,True
2024-06-21,Poland,Austria,1.0,3.0,UEFA Euro,Berlin,Germany,True
2024-06-21,Netherlands,France,0.0,0.0,UEFA Euro,Leipzig,Germany,True
2024-06-21,Slovakia,Ukraine,1.0,2.0,UEFA Euro,Düsseldorf,Germany,True
2024-06-22,Belgium,Romania,2.0,0.0,UEFA Euro,Cologne,Germany,True
2024-06-22,Georgia,Czech Republic,1.0,1.0,UEFA Euro,Hamburg,Germany,True
2024-06-22,Turkey,Portugal,0.0,3.0,UEFA Euro,Dortmund,Germany,True
2024-06-23,Germany,Switzerland,1.0,1.0,UEFA Euro,Frankfurt,Germany,False
2024-06-23,Scotland,Hungary,0.0,1.0,UEFA Euro,Stuttgart,Germany,True
2024-06-24,Albania,Spain,0.0,1.0,UEFA Euro,Düsseldorf,Germany,True
2024-06-24,Croatia,Italy,1.0,1.0,UEFA Euro,Leipzig,Germany,True
2024-06-25,England,Slovenia,0.0,0.0,UEFA Euro,Cologne,Germany,True
2024-06-25,Denmark,Serbia,0.0,0.0,UEFA Euro,Munich,Germany,True
2024-06-25,Netherlands,Austria,2.0,3.0,UEFA Euro,Berlin,Germany,True
2024-06-25,France,Poland,1.0,1.0,UEFA Euro,Dortmund,Germany,True
2024-06-26,Slovakia,Romania,1.0,1.0,UEFA Euro,Frankfurt,Germany,True
2024-06-26,Ukraine,Belgium,0.0,0.0,UEFA Euro,Stuttgart,Germany,True
2024-06-26,Georgia,Portugal,2.0,0.0,UEFA Euro,Gelsenkirchen,Germany,True
2024-06-26,Czech Republic,Turkey,1.0,2.0,UEFA Euro,Hamburg,Germany,True
2024-06-29,Switzerland,Italy,2.0,0.0,UEFA Euro,Berlin,Germany,True
2024-06-29,Germany,Denmark,2.0,0.0,UEFA Euro,Dortmund,Germany,False
2024-06-30,England,Slovakia,2.0,1.0,UEFA Euro,Gelsenkirchen,Germany,True
2024-06-30,Spain,Georgia,4.0,1.0,UEFA Euro,Cologne,Germany,True
2024-07-01,France,Belgium,1.0,0.0,UEFA Euro,Düsseldorf,Germany,True
2024-07-01,Portugal,Slovenia,0.0,0.0,UEFA Euro,Frankfurt,Germany,True
2024-07-02,Romania,Netherlands,0.0,3.0,UEFA Euro,Munich,Germany,True
2024-07-02,Austria,Turkey,1.0,2.0,UEFA Euro,Leipzig,Germany,True
2024-07-05,Germany,Spain,1.0,2.0,UEFA Euro,Stuttgart,Germany,False
2024-07-05,Portugal,France,0.0,0.0,UEFA Euro,Hamburg,Germany,True
2024-07-06,England,Switzerland,1.0,1.0,UEFA Euro,Düsseldorf,Germany,True
2024-07-06,Netherlands,Turkey,2.0,1.0,UEFA Euro,Berlin,Germany,True
2024-07-09,Spain,France,2.0,1.0,UEFA Euro,Munich,Germany,True
2024-07-10,Netherlands,England,1.0,2.0,UEFA Euro,Dortmund,Germany,True
2024-07-14,Spain,England,2.0,1.0,UEFA Euro,Berlin,Germany,True
